DATE;MAX_TEMPERATURE_C;MIN_TEMPERATURE_C;WINDSPEED_MAX_KMH;TEMPERATURE_MORNING_C;TEMPERATURE_NOON_C;TEMPERATURE_EVENING_C;PRECIP_TOTAL_DAY_MM;HUMIDITY_MAX_PERCENT;VISIBILITY_AVG_KM;PRESSURE_MAX_MB;CLOUDCOVER_AVG_PERCENT;HEATINDEX_MAX_C;DEWPOINT_MAX_C;WINDTEMP_MAX_C;WEATHER_CODE_MORNING;WEATHER_CODE_NOON;WEATHER_CODE_EVENING;TOTAL_SNOW_MM;UV_INDEX;SUNHOUR;OPINION;SUNSET;SUNRISE;TEMPERATURE_NIGHT_C
2019-08-01;27;14;5;15;26;25;0.0;91;8.0;1019;36.25;27;15;15;116;116;116;0;5;14.5;météo favorable;20:37:00;05:40:00;14
2019-08-02;29;14;10;15;27;27;0.0;78;10.0;1018;10.0;27;15;15;113;113;113;0;6;14.5;météo idéale;20:35:00;05:41:00;14
2019-08-03;30;15;12;17;29;29;0.0;82;10.0;1018;24.0;29;14;17;113;113;113;0;7;14.5;météo idéale;20:34:00;05:42:00;15
2019-08-04;30;17;18;18;30;25;0.0;67;10.0;1015;21.75;28;15;18;113;113;119;0;7;13.5;météo idéale;20:32:00;05:44:00;17
2019-08-05;25;15;20;16;25;24;0.1;87;9.0;1015;66.25;26;16;16;122;122;119;0;5;9.3;météo défavorable;20:31:00;05:45:00;15
2019-08-06;23;17;14;17;21;23;3.5;94;7.5;1014;82.375;25;17;17;353;353;353;0;5;10.3;météo défavorable;20:29:00;05:46:00;17
2019-08-07;27;15;18;16;26;25;0.0;91;8.0;1013;42.25;27;15;16;116;113;113;0;5;13.5;météo favorable;20:28:00;05:47:00;15
2019-08-08;29;14;19;16;29;27;0.0;84;10.0;1012;33.875;29;16;16;113;116;116;0;6;13.4;météo favorable;20:26:00;05:49:00;14
2019-08-09;26;19;33;20;19;23;3.0;94;9.75;1010;39.75;27;19;19;116;293;113;0;6;14.5;météo correcte;20:25:00;05:50:00;19
2019-08-10;25;15;33;18;25;21;0.2;75;10.0;1019;48.875;25;14;18;119;116;113;0;5;13.4;météo favorable;20:23:00;05:51:00;18
2019-08-11;22;13;17;15;22;21;1.0;85;8.875;1019;43.25;24;12;14;119;353;176;0;5;11.3;météo correcte;20:21:00;05:53:00;13
2019-08-12;21;12;22;13;21;18;6.8;91;8.25;1022;32.625;24;13;13;116;176;176;0;5;14.5;météo favorable;20:20:00;05:54:00;12
2019-08-13;22;10;16;10;22;19;0.4;87;10.0;1023;53.5;24;12;10;113;122;119;0;5;10.2;météo correcte;20:18:00;05:55:00;10
2019-08-14;22;12;22;13;22;20;0.4;94;7.875;1021;67.5;25;16;12;143;122;122;0;4;11.3;météo défavorable;20:16:00;05:57:00;12
2019-08-15;22;14;20;14;22;22;0.2;89;10.0;1021;74.0;25;14;13;116;122;122;0;6;10.2;météo défavorable;20:15:00;05:58:00;14
2019-08-16;25;13;21;14;24;22;0.1;86;10.0;1021;21.625;25;13;13;113;113;113;0;6;14.5;météo favorable;20:13:00;05:59:00;13
2019-08-17;20;17;23;19;20;19;6.3;93;7.625;1013;96.625;20;19;19;122;296;266;0;4;8.8;météo défavorable;20:11:00;06:00:00;18
2019-08-18;23;15;29;20;22;20;3.1;93;9.75;1015;57.625;25;18;18;122;293;113;0;5;10.5;météo correcte;20:10:00;06:02:00;20
2019-08-19;23;12;16;12;21;20;0.1;94;8.0;1022;43.5;24;11;12;143;119;116;0;5;9.3;météo correcte;20:08:00;06:03:00;12
2019-08-20;23;12;12;12;22;21;0.0;84;10.0;1027;22.375;24;11;11;113;116;116;0;5;11.6;météo favorable;20:06:00;06:04:00;12
2019-08-21;26;12;11;12;24;23;0.0;82;10.0;1027;33.125;26;11;11;116;113;113;0;5;10.4;météo favorable;20:04:00;06:06:00;12
2019-08-22;27;13;12;13;26;24;0.0;75;10.0;1026;7.625;26;10;13;113;113;113;0;6;11.6;météo favorable;20:02:00;06:07:00;13
2019-08-23;30;14;17;14;28;27;0.0;64;10.0;1024;16.125;29;11;13;113;116;113;0;6;11.6;météo favorable;20:01:00;06:08:00;14
2019-08-24;33;16;12;16;31;30;0.0;65;10.0;1019;27.375;31;13;16;122;113;113;0;7;10.4;météo idéale;19:59:00;06:10:00;16
2019-08-25;32;18;9;18;30;29;0.0;75;10.0;1018;11.375;31;14;18;113;113;113;0;7;11.6;météo idéale;19:57:00;06:11:00;18
2019-08-26;34;18;10;18;33;31;0.0;72;10.0;1018;13.875;33;15;18;113;113;113;0;7;11.6;météo idéale;19:55:00;06:12:00;18
