model,CV,R2,MSE,MAE,MAPE,Temps d'execution
predict means,false,-0.10851201906727792,294442816424.5577,477443.30731150036,742.1691267370305,0.0
lr,false,0.35587326398814134,171092858736.22852,252093.82227796808,1269.6973770161437,0.03
ridge,false,0.7781923927780836,58916507400.403145,157677.0217800025,481.93178056019855,0.01
ridge_grid,true,0.8755183586774746,33064797163.85595,117224.06579598344,62.263758416013815,0.27
RandomForestRegressor,false,0.9192032002289254,21461235307.76296,106130.56115384615,93.90044586959107,0.14
RandomForestRegressor,true,0.8925497492256677,28540921450.847393,125592.82366577428,125.57098735229694,74.07
SGDRegressor,false,0.8753850104110522,33100217112.8104,118186.74379745149,39.59418033207274,0.01
SGDRegressor,true,0.8929758974982485,28427728002.842453,115102.85706180263,8.554048402177177,16.11
MLPRegressor,false,0.7350944453591466,70364178514.359,178581.41002941484,561.4655708587933,2.07
MLPRegressor,true,0.6565376706893435,91230418649.91344,175726.40287928,883.1712351845321,65.83
